# HyperSecurity_offensivelabs - AI & ML SYSTEMS SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
AI-0001,/jupyter,GET,200,jupyter,Critical,AiMl,Jupyter Notebook,Jupyter notebook server.,Secure Jupyter immediately.,false
AI-0002,/jupyter/tree,GET,200,tree,Critical,AiMl,Jupyter Tree,Jupyter file tree.,Secure Jupyter tree.,false
AI-0003,/jupyter/notebooks,GET,200,notebooks,Critical,AiMl,Jupyter Notebooks,Notebook list.,Secure notebooks.,false
AI-0004,/jupyter/api/contents,GET,200,contents,Critical,AiMl,Jupyter API Contents,Jupyter contents API.,Secure API.,false
AI-0005,/jupyter/api/sessions,GET,200,sessions,Critical,AiMl,Jupyter API Sessions,Jupyter sessions API.,Secure sessions.,false
AI-0006,/jupyter/api/kernels,GET,200,kernels,Critical,AiMl,Jupyter API Kernels,Jupyter kernels API.,Secure kernels.,false
AI-0007,/jupyter/api/terminals,GET,200,terminals,Critical,AiMl,Jupyter API Terminals,Jupyter terminals API.,Critical: Secure terminals.,false
AI-0008,/jupyter/terminals,GET,200,terminals,Critical,AiMl,Jupyter Terminals,Terminal access.,Remove terminals.,false
AI-0009,/jupyter/lab,GET,200,jupyterlab,Critical,AiMl,JupyterLab,JupyterLab interface.,Secure JupyterLab.,false
AI-0010,/jupyter/hub,GET,200,hub,Critical,AiMl,JupyterHub,JupyterHub interface.,Secure JupyterHub.,false
AI-0011,/jupyter/hub/admin,GET,200,admin,Critical,AiMl,JupyterHub Admin,JupyterHub admin.,Implement auth.,false
AI-0012,/jupyter/nbextensions,GET,200,nbextensions,Critical,AiMl,Jupyter Extensions,Jupyter extensions.,Secure extensions.,false
AI-0013,/mlflow,GET,200,mlflow,Critical,AiMl,MLflow,MLflow tracking server.,Secure MLflow.,false
AI-0014,/mlflow/#/experiments,GET,200,experiments,Critical,AiMl,MLflow Experiments,MLflow experiments.,Secure experiments.,false
AI-0015,/mlflow/api/2.0/mlflow/experiments/list,GET,200,experiments,Critical,AiMl,MLflow API Experiments,MLflow experiments API.,Secure API.,false
AI-0016,/mlflow/api/2.0/mlflow/runs/search,POST,200,runs,Critical,AiMl,MLflow API Runs,MLflow runs API.,Secure runs API.,false
AI-0017,/mlflow/api/2.0/mlflow/registered-models/list,GET,200,registered_models,Critical,AiMl,MLflow Models,MLflow models API.,Secure models.,false
AI-0018,/mlflow/api/2.0/mlflow/model-versions/search,POST,200,model_versions,Critical,AiMl,MLflow Model Versions,MLflow versions API.,Secure versions.,false
AI-0019,/tensorboard,GET,200,tensorboard,Critical,AiMl,TensorBoard,TensorBoard dashboard.,Secure TensorBoard.,false
AI-0020,/tensorboard/data/plugins_listing,GET,200,plugins,Critical,AiMl,TensorBoard Plugins,TensorBoard plugins.,Secure plugins.,false
AI-0021,/tensorboard/data/runs,GET,200,runs,Critical,AiMl,TensorBoard Runs,TensorBoard runs.,Secure runs.,false
AI-0022,/tensorboard/data/scalars,GET,200,scalars,Critical,AiMl,TensorBoard Scalars,TensorBoard scalars.,Secure scalars.,false
AI-0023,/tensorboard/data/graph,GET,200,graph,Critical,AiMl,TensorBoard Graph,TensorBoard graph.,Secure graph.,false
AI-0024,/tensorboard/data/histograms,GET,200,histograms,Critical,AiMl,TensorBoard Histograms,TensorBoard histograms.,Secure histograms.,false
AI-0025,/tensorboard/data/distributions,GET,200,distributions,Critical,AiMl,TensorBoard Distributions,TensorBoard distributions.,Secure distributions.,false
AI-0026,/tensorboard/data/images,GET,200,images,Critical,AiMl,TensorBoard Images,TensorBoard images.,Secure images.,false
AI-0027,/tensorboard/data/audio,GET,200,audio,Critical,AiMl,TensorBoard Audio,TensorBoard audio.,Secure audio.,false
