# HyperSecurity_offensivelabs - PROFESSIONAL SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# This database contains REAL vulnerability tests for authorized security assessments only
# Unauthorized access or use is strictly prohibited
#
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation
# Total Records: 100 (Breach & Data Leak Vectors)
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation
BR-0001,/.git/config,GET,200,repository,Critical,Breach,Git Config Exposure,.git/config exposes remote origin URLs with embedded credentials.,Remove .git directories from production web root.
BR-0002,/.git/HEAD,GET,200,ref,Critical,Breach,Git HEAD Leak,.git/HEAD reveals current branch and confirms git exposure.,Block .git paths in web server config.
BR-0003,/.git/index,GET,200,DIRC,Critical,Breach,Git Index Download,.git/index downloads entire staging area metadata.,Deny access to .git/* paths.
BR-0004,/.git/packed-refs,GET,200,ref,Critical,Breach,Git Packed Refs,packed-refs exposes all branch and tag references.,Restrict .git directory access.
BR-0005,/.git/logs/HEAD,GET,200,commit,Critical,Breach,Git Log Leak,Git logs reveal commit history author names and emails.,Remove git metadata from production.
BR-0006,/.svn/entries,GET,200,svn,Critical,Breach,SVN Entries Leak,Subversion entries file reveals repository structure and revision info.,Remove .svn directories from web root.
BR-0007,/.svn/wc.db,GET,200,repository,Critical,Breach,SVN WC DB Leak,SVN working copy database leaks entire project structure.,Delete .svn folders from deployment.
BR-0008,/.hg/store/00manifest.i,GET,200,manifest,Critical,Breach,Mercurial Manifest Leak,Mercurial store manifest reveals repository file listings.,Remove .hg directories from production.
BR-0009,/server-status,GET,200,Server,Medium,Breach,Apache Server Status,Apache server-status shows active connections and request details.,Restrict server-status to localhost.
BR-0010,/server-info,GET,200,Server,Medium,Breach,Apache Server Info,Apache server-info reveals module configuration and directives.,Disable mod_info in production.
BR-0011,/phpinfo.php,GET,200,PHP Credits,Critical,Breach,PHP Info Exposure,phpinfo() dumps all PHP configuration environment and headers.,Remove phpinfo files from production.
BR-0012,/info.php,GET,200,PHP Version,Critical,Breach,PHP Info Leak,info.php exposes PHP configuration including database credentials.,Delete info.php from document root.
BR-0013,/test.php,GET,200,PHP,Medium,Breach,PHP Test Script,Default PHP test script may reveal server information.,Remove test scripts from production.
BR-0014,/wp-config.php.bak,GET,200,DB_NAME,Critical,Breach,WordPress Config Backup,Backup of wp-config.php exposes database credentials.,Store backups outside web root.
BR-0015,/wp-config.php~,GET,200,DB_NAME,Critical,Breach,WordPress Config Copy,Editor backup of wp-config.php contains database passwords.,Prevent editor backups in web root.
BR-0016,/wp-config.php.save,GET,200,DB_NAME,Critical,Breach,WordPress Config Save,Save file of wp-config exposes database credentials.,Remove save copies after editing.
