# HyperSecurity_offensivelabs - DEVOPS & CI/CD SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
CI-0001,/jenkins,GET,200,Jenkins,Critical,CiCd,Jenkins Panel,Jenkins CI/CD panel.,Secure Jenkins immediately.,false
CI-0002,/jenkins/login,GET,200,login,Critical,CiCd,Jenkins Login,Jenkins login page.,Implement strong auth.,false
CI-0003,/jenkins/script,POST,200,Script,Critical,CiCd,Jenkins Script Console,Script console allows RCE.,Remove script console.,false
CI-0004,/jenkins/configure,GET,200,configure,Critical,CiCd,Jenkins Configure,Jenkins configuration.,Secure config access.,false
CI-0005,/jenkins/credentials,GET,200,credentials,Critical,CiCd,Jenkins Credentials,Jenkins credentials store.,Secure credentials.,true
CI-0006,/jenkins/job,GET,200,job,Critical,CiCd,Jenkins Jobs,Jenkins job listings.,Secure job access.,false
CI-0007,/jenkins/build,GET,200,build,Critical,CiCd,Jenkins Builds,Build information.,Secure build data.,false
CI-0008,/jenkins/console,GET,200,console,Critical,CiCd,Jenkins Console,Build console output.,Secure console logs.,true
CI-0009,/jenkins/api/json,GET,200,jobs,Critical,CiCd,Jenkins API JSON,Jenkins JSON API.,Secure Jenkins API.,false
CI-0010,/jenkins/api/xml,GET,200,jobs,Critical,CiCd,Jenkins API XML,Jenkins XML API.,Restrict API access.,false
CI-0011,/gitbucket,GET,200,GitBucket,Critical,CiCd,GitBucket Panel,GitBucket interface.,Secure GitBucket.,false
CI-0012,/gitlab,GET,200,GitLab,Critical,CiCd,GitLab Panel,GitLab interface.,Secure GitLab.,false
CI-0013,/gitlab/admin,GET,200,admin,Critical,CiCd,GitLab Admin,GitLab admin panel.,Implement MFA.,false
CI-0014,/gitlab/api/v4,GET,200,api_v4,Critical,CiCd,GitLab API,GitLab API endpoint.,Secure API access.,false
CI-0015,/gitlab/oauth/token,POST,200,access_token,Critical,CiCd,GitLab Token,OAuth token endpoint.,Secure token endpoint.,false
CI-0016,/gitlab/-/junit,GET,200,tests,Critical,CiCd,GitLab JUnit,Test results exposure.,Secure test data.,false
CI-0017,/gitlab/-/cobertura,GET,200,coverage,Critical,CiCd,GitLab Coverage,Coverage reports.,Secure coverage data.,false
CI-0018,/github,GET,200,GitHub,High,CiCd,GitHub Enterprise,GitHub Enterprise.,Secure GHE access.,false
CI-0019,/github/login,GET,200,login,High,CiCd,GitHub Login,GitHub login page.,Implement SSO.,false
CI-0020,/api/v3,GET,200,v3,High,CiCd,GitHub API,GitHub API v3.,Secure API access.,false
CI-0021,/setup,GET,200,setup,Critical,CiCd,GitHub Setup,GitHub setup page.,Complete setup.,false
CI-0022,/gogs,GET,200,Gogs,Critical,CiCd,Gogs Panel,Gogs git service.,Secure Gogs.,false
CI-0023,/gitea,GET,200,Gitea,Critical,CiCd,Gitea Panel,Gitea git service.,Secure Gitea.,false
CI-0024,/bitbucket,GET,200,Bitbucket,Critical,CiCd,Bitbucket Panel,Bitbucket interface.,Secure Bitbucket.,false
CI-0025,/bamboo,GET,200,Bamboo,Critical,CiCd,Bamboo Panel,Atlassian Bamboo.,Secure Bamboo.,false
CI-0026,/teamcity,GET,200,TeamCity,Critical,CiCd,TeamCity Panel,JetBrains TeamCity.,Secure TeamCity.,false
CI-0027,/teamcity/admin,GET,200,administration,Critical,CiCd,TeamCity Admin,TeamCity admin.,Implement auth.,false
