# HyperSecurity_offensivelabs - API & MICROSERVICES SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation,download_flag
API-0001,/api,GET,200,api,Low,Api,API Root,REST API root endpoint.,Review API documentation.,false
API-0002,/api/v1,GET,200,v1,Low,Api,API V1,API version 1 endpoint.,Version your APIs.,false
API-0003,/api/v2,GET,200,v2,Low,Api,API V2,API version 2 endpoint.,Use latest version.,false
API-0004,/api/v3,GET,200,v3,Low,Api,API V3,API version 3 endpoint.,Review v3 changes.,false
API-0005,/api/latest,GET,200,latest,Low,Api,API Latest,Latest API version.,Pin API versions.,false
API-0006,/api/internal,GET,200,internal,High,Api,Internal API,Internal API exposed.,Secure internal APIs.,false
API-0007,/api/private,GET,200,private,High,Api,Private API,Private API endpoint.,Add authentication.,false
API-0008,/api/public,GET,200,public,Low,Api,Public API,Public API endpoint.,Review public exposure.,false
API-0009,/api/admin,GET,200,admin,Critical,Api,Admin API,Administrative API endpoint.,Secure admin APIs.,false
API-0010,/api/users,GET,200,users,High,Api,Users API,User management API.,Implement authorization.,false
API-0011,/api/user,GET,200,user,High,Api,User API,User endpoint.,Secure user data.,false
API-0012,/api/auth,GET,200,auth,Medium,Api,Auth API,Authentication API.,Secure auth flow.,false
API-0013,/api/login,POST,200,token,High,Api,Login API,API login endpoint.,Implement rate limiting.,false
API-0014,/api/register,POST,200,user,High,Api,Register API,Registration API.,Add CAPTCHA.,false
API-0015,/api/config,GET,200,config,Critical,Api,Config API,Configuration API.,Remove from production.,false
API-0016,/api/settings,GET,200,settings,High,Api,Settings API,Settings endpoint.,Secure settings API.,false
API-0017,/api/status,GET,200,status,Medium,Api,Status API,Status check API.,Limit exposure.,false
API-0018,/api/health,GET,200,health,Medium,Api,Health API,Health check API.,Secure health checks.,false
