# HyperSecurity_offensivelabs - PROFESSIONAL SECURITY TEST DATABASE
# RESTRICTED ACCESS - AUTHORIZED PERSONNEL ONLY
# Copyright (c) HyperSecurity_offensivelabs - All Rights Reserved
# This database contains REAL vulnerability tests for authorized security assessments only
# Unauthorized access or use is strictly prohibited
#
# Format: id,path,method,expected_status,content_indicators,severity,category,title,description,remediation
# Total Records: 223 (Stealth DoS & Nikto-evading vectors)
#
id,path,method,expected_status,content_indicators,severity,category,title,description,remediation
D-0001,/api/batch,POST,200,time,High,DoS,Batch API Processing,Batch endpoint without size limits allows resource exhaustion via large payloads.,Implement request size limits and rate limiting.
D-0002,/graphql,POST,200,errors,High,DoS,GraphQL Batching Attack,GraphQL endpoint allows deeply nested batched queries causing CPU exhaustion.,Implement query depth limiting and cost analysis.
D-0003,/api/export/csv,GET,200,records,High,DoS,CSV Export Flood,Export endpoint triggers expensive DB queries without rate limiting.,Add rate limiting and async export queue.
D-0004,/api/v1/search,GET,200,results,High,DoS,Search Index Scan,Unbounded search causes heavy index scanning and CPU spikes.,Implement search timeouts and result limits.
D-0005,/api/v2/search,GET,200,results,High,DoS,Full-Text Search DoS,Full-text search without timeout causes database load.,Enforce query timeouts and max results.
D-0006,/api/render,POST,200,template,High,DoS,Server-Side Render Flood,SSR endpoint causes CPU spikes on concurrent render requests.,Implement render queue with concurrency limits.
D-0007,/api/convert,POST,200,conversion,High,DoS,File Conversion Abuse,File conversion endpoint consumes excessive memory for large inputs.,Set max input size and conversion timeouts.
D-0008,/api/resize,POST,200,image,High,DoS,Image Resize Bomb,Image resizing without dimension limits causes memory exhaustion.,Enforce max dimensions and image size limits.
D-0009,/api/thumbnail,POST,200,generated,High,DoS,Thumbnail Generation Flood,Unlimited thumbnail generation exhausts disk I/O.,Queue generation tasks and limit concurrency.
D-0010,/api/optimize,POST,200,optimized,High,DoS,Image Optimization Abuse,Image optimizer runs out of memory for large animated images.,Set max frame count and resolution limits.
D-0011,/api/compress,POST,200,compressed,High,DoS,Compression Bomb Decompression,Server decompresses user uploads without size limits.,Limit decompressed output size.
